"v1" "v2" "s1" "s2" "c1" "c2"
0.98 1.1 0.24 -1.27 0.17 0.92
0.21 -1.18 -0.41 -0.55 -1.02 -2.08
-1.03 1.03 -1.58 -1.59 0.85 0.74
-0.18 0.31 -0.34 0.2 -0.43 -0.36
1.18 -0.05 1.52 -0.27 0.48 -0.39
1.82 2.6 1.69 0.48 1.82 -0.66
-2.46 -2.36 -0.86 -0.14 -0.18 -0.36
2.33 0.59 1.08 2.55 -0.77 -0.74
-0.72 -0.78 0.88 0 -0.01 0.68
2.39 1.89 -0.69 0.86 1.13 0.8
0.07 0.83 -0.53 0.34 -0.49 0.04
1.16 0.54 0.61 0.11 -0.11 -0.51
2.37 0.89 2.3 2.57 -0.16 -1.11
-2.97 -1.5 -0.59 -2.31 -0.73 -1.16
-0.1 0.56 -0.26 0.45 0.79 0.87
0.63 1.84 -0.33 0.41 0.33 0.58
-1.54 0.53 0.41 1.45 -1.08 -1.35
-0.02 -0.36 0.4 1.7 -0.54 1.51
1.04 2.82 -1.14 0.16 0.81 0.95
2.36 2.1 -0.57 -0.55 1.25 0.95
-0.99 -0.26 -1.75 -0.56 -0.62 -0.77
0.09 0.45 1.38 0.39 -0.32 -2.16
1.58 2.11 2.29 1.79 0.81 -0.12
0.59 0.56 -3.09 -1.48 0.8 0.98
0.37 0.56 -0.6 -0.97 -0.44 -0.24
-2.73 -0.99 -2.09 -0.81 0.66 0.85
0.17 1.92 0.08 0.57 1.27 2.18
-1.68 -2.35 -1.33 -1.16 0.84 -0.61
3.04 1.29 0.41 0.12 1.16 0.02
3.28 1.8 2.13 0.38 0.43 -0.05
-1.35 0.34 -1.07 0.78 -0.03 -0.38
-0.24 -0.75 -0.28 1.17 -0.29 -0.67
-1.84 -0.51 0.4 0.24 -0.17 -1.62
-1.29 -1.69 -1.85 -0.78 0.11 0.62
-1.49 -0.42 -0.45 -0.37 0.94 -0.37
0.7 -4.19 -0.66 0.02 -0.88 -1.51
-0.88 1.23 1.11 1.4 0.93 -0.2
-0.84 -2.33 0.69 -0.64 -0.77 0.28
0.67 1.29 -1.55 -0.52 0.36 1.15
-1.45 -0.05 0.38 1.48 -2.01 0.91
-0.2 0.03 0.89 -2.83 1.85 2
2.49 1.38 2.23 0.73 0.12 1.56
1.98 -0.16 -0.61 -0.17 0.03 -0.73
-1.92 -2.25 0.71 0.59 1.48 0.45
-1.78 -0.62 -1.56 -1.36 1.15 0.7
-0.51 1.88 0.47 -1.45 -1.11 0.63
0.27 0.32 -0.19 0.26 -1.9 -0.08
-0.34 -0.56 0.74 -0.76 0.65 -0.61
-0.09 0.11 0.24 -0.31 2.65 0.83
0.65 0.29 1.01 1.42 -0.51 1.68
0.8 -2.24 -0.21 1.19 -0.68 1.07
0.17 1.96 1.3 0.93 -0.12 -1.04
-2.57 -2.79 -0.79 -3.1 1.93 1.36
1.04 -1.96 2.25 2.73 -1.24 -2.03
1.01 1.63 0.27 -0.91 -0.61 -1.61
-0.54 0.92 -0.15 0.85 -0.17 -0.37
0.2 0.88 -1.02 0.93 -1.02 0.78
0.05 -0.81 -2.18 -0.96 0.55 0.69
0.98 -0.07 1.4 0.05 -2.14 -1.7
-0.91 -0.6 -0.04 -0.19 0.03 1.55
1.61 1.19 -0.71 -1.53 1.04 2
2.32 0.86 0.64 -1.84 -0.29 0.65
1.44 1.68 -1.15 -1.21 0.02 0.23
-2.8 -0.8 -2.14 -1.46 0.86 -0.11
-2.7 1.53 1.46 1.3 -2.03 -0.69
-0.54 0.27 -0.04 -3.42 -0.39 0.3
0.21 -0.2 0.09 -1.25 -0.96 -1.7
-1.11 -0.78 0.84 0.53 0.14 -0.61
-1.97 -1.73 -0.17 1.85 -2.02 -2.22
-0.27 -0.96 -0.5 0.05 0.98 0.14
1.23 0.51 -2.34 0.17 1.87 -0.43
-1.85 -0.37 -2.52 -1.38 0.7 2.02
1.76 -0.28 -0.43 1.47 -0.73 0.16
0.96 -1.83 -1.51 -1.45 2.49 -0.04
-0.99 0.91 -0.4 -1.33 1.47 2.18
0.69 -1.76 -1.44 -1.78 -1.3 1.1
0.7 1.92 0.41 -0.65 0.08 2.26
2.63 2.54 0.69 3.05 2.09 1.88
2.84 0.63 1.64 0.82 1.67 2.48
-2.97 -2.96 -0.53 -1.64 2.3 1.57
0.32 -0.75 1.35 -0.15 1.48 -0.93
-1.72 -2.11 -2.56 -1.75 0.33 -1
-0.49 -0.49 -2.7 -1.52 -0.59 0.63
1.15 0.02 0.27 -0.69 -0.21 -0.94
2.24 0.68 -0.2 -0.47 -1.05 1.35
-0.17 -0.9 -0.65 0.09 -1.26 0.17
1.31 0.62 -2.73 0.41 -1.37 1.24
-1.8 -0.87 2.62 1.56 -0.99 -2.55
2.62 0.34 -0.23 -1.31 -0.12 0.3
-1.41 1.29 -1 1.72 0.87 -1.32
0.28 2.69 2.74 2.41 -1.29 1
-1.39 -0.51 -0.26 -1.09 -1.16 -0.65
0.62 -1.87 -0.83 0.03 -0.28 -0.4
-0.66 -1.29 -1.02 0.51 -1.33 0.7
-1.28 0.11 -1.33 0.49 -0.83 0.32
-3.38 -1.46 -2.95 -0.65 -1.27 0
-1.54 -1.2 -0.45 -2.93 0.2 0.22
-3.7 -2.08 -0.13 -2.07 0.79 -1.73
2.04 0.69 -1.94 0.15 0.76 0.32
1.31 -0.96 0.66 -1.81 0.29 0.33
-1.87 -2.43 -0.89 -0.78 -1.16 -0.11
-1.71 -4.86 0.35 0.44 2 2.03
-2.44 -1.33 -1.66 -2.43 -0.01 -1.52
-0.59 1.08 1.12 1.01 1.5 2.59
-0.68 -1.09 -0.32 -0.88 0.04 -0.92
0.37 1.41 -2.54 -0.54 0.01 -0.06
2.14 0.88 2.5 2.21 -1.23 -0.42
0 0.55 -3.01 -1.4 0.48 0.46
0.19 -2.13 1.53 0.92 -1.46 0.68
-1.76 -2.1 -0.4 -0.12 -0.57 0.66
-0.57 -3.36 -1.25 -0.62 1.64 -2.02
0.83 2.41 0.24 -0.48 -1.25 0.88
-0.12 -0.15 -0.29 0.06 0.14 -0.75
1.41 0.89 -0.32 -0.54 0.78 0.09
-1.32 1.72 -1.91 -2.77 0.81 -2.12
-0.75 -0.43 0.16 -0.13 0.25 0.14
2.63 1.25 0.81 1.94 0.7 0.3
1.42 2.16 0.15 -0.19 1.65 -0.81
0.08 0.81 0.79 0.75 1.64 1.74
-0.22 0.07 -1.59 -0.32 -1.99 -0.85
0.35 -0.1 0.29 -0.53 1.36 -1.13
2.1 3.16 0.51 0.73 1.11 0.68
0.9 -0.1 -0.25 0.82 1.92 -0.4
-1.45 -3.65 -2.81 -1.17 2.42 0.47
1.66 -0.95 0.54 0.1 -1.69 -1.96
-1.79 0.27 -1.76 -1.74 2.06 -0.58
-0.24 -3.06 -0.91 -0.66 1.79 1.5
-1.76 -1.44 -0.67 -2.63 0.23 -1.1
0.17 -0.27 1.91 0.72 0.51 -1.85
0.57 0.94 0.75 0.96 -0.94 0.78
-1.53 -0.82 -1.17 -1.28 0.9 0.13
-2.34 0.18 0.14 -0.63 -1.14 0.76
-0.22 -1.23 1.21 -2.54 0.1 0.7
-0.88 -0.32 -0.94 -0.43 -0.29 -1.17
-0.04 -0.63 -0.69 -1.18 -2.11 2.08
-1.08 -1.61 -1.38 -1.19 0.52 0.38
-0.46 0.6 2.13 -2.71 1.18 1.6
-0.64 0.27 1.34 1.32 -0.27 0.01
-0.45 3.04 1.69 -1.39 0.18 0.21
-0.17 -0.39 0.32 2.3 0.83 1.24
-0.36 0.09 -0.05 -0.66 0.28 -1.4
0.45 2.33 2.59 0.55 -0.31 0.51
2.23 1.2 -0.64 -0.18 0.67 0.03
0.53 -0.4 2.01 1.49 2.18 1.45
1.71 1.42 -0.98 0.84 1.39 2.4
0.28 0.06 1.31 -2.09 0.69 0.4
-0.45 -1.39 -0.9 -0.16 1.5 1.24
-0.75 -1.11 -1.23 0.69 0.29 -2.08
-1.84 -1.07 -1.93 -2.49 -0.63 -0.51
-1.9 -0.21 -1.59 -1.88 0.76 0.66
0.83 1.39 1.3 -1.19 2.24 -0.28
-1.05 1.83 -2.06 -0.16 0.3 1.32
-1.12 -0.56 -0.91 0.9 -0.09 0.85
2.05 1.28 -0.56 0.72 0.47 0.14
-1.82 -0.74 -1.41 0.14 -0.72 0.1
-2.64 0.55 0.47 -1.31 -0.22 -0.7
0.16 1 -0.13 0.15 -0.67 -0.94
2.62 2.27 0.42 2.14 0.52 -0.57
2.32 -0.14 -0.03 -0.01 -0.89 -1.13
-1.81 -0.32 0.84 0.48 1.01 2.69
-0.27 1.06 -0.97 -1.91 -1.8 0.14
2.62 -0.25 0.01 2.66 -0.2 0.59
-1.25 -0.2 2.07 1.61 -1.09 -0.55
1.98 2.18 -0.91 0.24 -0.11 -1.72
-0.54 -3.38 1.07 -0.24 -1.71 -0.45
0.23 1.56 0.84 1.22 -1.25 -0.96
0.43 1.29 -1.62 1.07 0.7 0.72
0.79 0.32 -2.74 2.07 0.55 1.31
-2.22 -1.69 -0.94 1.28 -0.11 -0.63
-0.14 1.17 -2.15 -0.4 -2.17 -0.82
2.3 2.58 -1.14 -1.56 -0.4 -0.3
0.65 1.36 -0.95 0.67 1.19 -0.02
-0.14 2.52 -1.46 -0.3 0.34 0.96
0.93 1.67 0.59 0.04 0.26 -1.45
0.61 -3.16 -0.8 -0.93 1.09 0.13
-1.2 -1.39 1.25 -1.04 -1.16 1.77
-1.98 -0.54 -2.11 -1.54 0.44 -0.25
1.54 0.29 2.46 0.65 -0.33 1.69
-0.31 1.7 0.77 1.31 0.5 0.19
-3.03 -2.25 -1.94 -1.45 0.04 0.37
-1.25 -0.19 -2.47 -2.81 -0.67 -1.12
-1.32 1.22 0.16 1.38 0.21 -0.9
-0.75 -0.69 0.25 0.91 -1.7 -0.7
1.27 0.41 2.86 2.28 1.46 0.05
-2.78 -1.25 0.28 0.98 -1.25 0.28
-0.46 -0.2 1.5 -0.4 0.03 0.8
-1.17 -0.25 0.14 0.06 -2.67 -0.53
-1.69 -0.57 1.53 2.17 0.52 0.95
1.94 0.24 -1.83 -1.23 0.94 -0.99
1.43 -0.53 0.48 -0.85 -0.63 1.09
1.23 0.86 1.84 2.13 0.5 1.34
-0.98 -0.19 -0.15 -1.98 -0.58 -2.11
-0.77 1.27 -0.8 -1.03 1.29 0.07
-1.14 -0.19 -1.41 -1.21 -0.55 -0.29
1.03 -0.06 0.31 -0.62 1.08 0.7
1.47 0.34 0.1 -0.06 -0.92 -0.45
1.18 -1.72 -0.5 -4.65 1.03 0.07
0.86 1.89 0.14 -0.13 0.61 1.42
2.28 -0.69 2.39 1.81 -0.02 0.73
0.51 -0.26 0.88 0.04 1.25 1.34
2.14 -0.28 -0.6 0.71 -0.58 0.35
0.74 1.28 0.88 -0.51 1.35 -1.78
1.99 0.3 2.46 2.88 0.51 -1.9
-1.16 -1.06 -2.26 -2.36 -0.43 -0.37
0.87 0.85 -1.42 -0.53 0.09 -1.59
2.86 0.92 0.35 2.29 0.32 0.46
2.72 2.14 -0.38 -0.58 -2.42 0.19
-0.93 1.31 0.9 0.12 -0.72 -1.37
1.85 2.05 -1.56 0.47 0.33 -0.37
0.29 0.01 0.27 1.86 0.45 -0.79
-2.36 -1.41 -0.29 0.69 0.31 1.5
0.39 0.34 -0.34 0.66 0.22 0.36
-1.86 -0.71 1.66 0.88 -0.11 -1.03
0.22 -0.38 -0.69 -1.87 0.06 -0.87
0.73 1.53 -0.1 -0.09 1.45 -0.66
1.09 -0.03 -0.34 0.25 -1.37 0.11
-0.94 0.73 0.39 -0.79 -1.96 0.42
-0.54 2.27 2.52 -0.12 -0.03 2.67
0.92 0.37 -0.5 0.15 -0.29 -1.53
1.97 0.74 0.63 0.79 0.14 1.01
0.91 -0.72 0.75 0.36 -0.28 -0.94
-1.72 -0.38 3.13 -0.45 1.23 0.91
-0.42 -0.07 -3.02 -2.65 0.21 -0.4
-0.21 0.91 1.25 1.37 1.5 2.37
-0.53 -1.93 -0.28 -0.13 -0.58 0.14
-0.68 0.33 -0.61 0.63 -0.68 -0.59
-3.34 -2.1 0.18 -1.83 -1.37 0.22
0.6 1.24 1.66 1.65 0.23 -1.28
0.4 2.17 0.4 0.17 -0.68 0.81
-0.75 0.13 -2.48 -2.35 -0.94 -0.96
-0.31 -1.26 -0.64 -1.28 0.1 -0.96
0.11 -1.88 0.09 -1.23 -0.68 0.33
2.07 -0.12 1.14 1.47 -0.58 1.64
0.95 -3.15 -2.92 -0.12 -1.26 1.58
0.02 -0.2 -0.79 -1.17 2.83 0.84
0.24 1.14 1.14 0.2 1.86 -0.19
-0.77 1.47 2.3 3.12 1.53 0.5
-1.43 -1.23 -2.2 -1.66 0.71 0.51
-2.47 -1.56 1.06 -0.09 -0.3 0.35
-0.04 -0.38 0.87 0 0.9 0.87
1.36 0.75 -0.28 -0.38 -1.62 -1.13
-0.96 -1.96 -2.26 -0.26 -0.7 1.65
-0.43 0.21 0.1 -0.25 -0.06 0.56
0.55 0.89 1 -0.03 -1.78 -0.77
-1.63 0.14 0.63 -0.55 -0.86 -0.61
-0.66 -1.71 -0.49 0.04 0.93 0.64
2.62 -0.05 1.67 1.09 0.55 -0.56
-0.26 0.45 0.04 -3.25 0.11 1.32
2.21 3.44 1.67 0.35 -0.16 -0.81
0.61 -0.5 -0.1 0.11 -1.12 -1.5
-0.82 -0.24 -0.58 -3.37 0.07 0.1
0.98 0.44 -0.1 1.16 -2.26 1.04
0.4 -0.65 -0.49 0.75 1.19 -1.5
1.75 -0.75 -0.63 0.11 0.58 -1.26
3.06 1.73 1.55 1.44 1.31 1.75
0.48 1.29 -2.15 2.07 0 -0.42
-0.11 -0.69 0.12 -0.86 0.4 0.04
-0.63 0.17 0.86 0.19 1.2 1.29
-1.05 -0.34 -0.72 0.49 1.01 1.25
2.8 0.91 0.14 2.26 1.23 -0.03
1.27 0.52 0.96 3.13 1.7 0.18
1.08 0.07 -1.87 0.19 0.94 2.3
-0.74 0.49 -1.3 0.13 0.91 -0.28
-0.31 0.39 3.87 0.16 -0.1 -1.42
1.66 0.8 -0.08 1.81 -0.8 1.54
-2.4 0.56 -2.89 -2.28 -0.39 -0.48
-0.35 -1.35 0.43 -1.53 -0.24 1.23
-0.05 -1.97 -1.62 1.49 -1.55 0.74
-2.28 -2.5 0.89 -1.79 -0.41 0.42
2.89 1.29 -0.19 0.99 1.6 1.56
-0.12 2.4 -1.71 -2.81 -1.33 -0.45
1.28 -0.27 0.5 -0.37 0.85 1.14
1.14 -0.24 -1.94 -0.73 0.37 1
-0.67 1.26 0.91 0.8 0.02 1.08
-0.46 0.98 0.65 1.33 0.58 0.98
-0.16 -1.29 -3.26 -1.03 0.67 2.43
-0.8 0.34 0.67 -1.62 0.03 -1.08
3.25 -1.34 1.2 2.12 0.79 -1.12
-0.13 1.02 -0.07 -0.61 0.57 -1.25
-0.2 -2.2 -1.48 0.17 -0.09 0.18
2.21 -0.18 0.99 0.77 0.91 -1.85
0.84 0.88 1.88 -0.55 -0.1 1.09
0.32 0.01 1.43 -0.28 0.88 1.5
-1.35 0.01 -1.16 -0.08 -1.51 -2.35
0.44 1.61 1.2 0.54 -1.78 0.87
-1.49 -1.05 -2.96 -2.23 1.82 -0.67
0.36 -0.57 1.6 0.53 1.38 0.15
-0.24 1.19 -0.36 -0.63 -0.05 0.71
-0.26 0.95 0.9 1.23 -0.27 -1.05
-0.62 -1.57 0.05 2.02 0.14 -0.57
-3.85 -3.35 -0.41 -1.98 -0.62 -0.81
-1.57 -1.76 -0.33 -2.04 2.59 1.31
-1.92 -0.3 0.83 1.39 0.02 0.72
-0.34 -0.4 0.48 -0.84 -1.15 0.14
0.41 0.5 -0.58 0.18 0.67 0.28
-1.78 -0.72 -0.23 -2.32 -1.41 -2.46
-1.19 -0.29 -0.37 0.78 1.73 -2.38
-1.61 -0.92 -1.3 -1.07 -0.98 1.58
-1.34 -1.91 -1.85 -1.32 -2.01 0.02
-2.12 0.43 -1.92 0.52 1.89 -0.9
0.64 1.49 0.64 1.64 1.13 2.58
-2.33 -1 1.24 -2.95 -0.7 0.31
-1.01 1.84 2.3 0.15 1.55 -1.99
0.49 -0.75 -0.76 -1.71 -0.73 0.31
-1.83 0.32 -1.36 -2.83 2.31 0.89
-0.5 -1.58 -0.77 -0.04 0.71 0.05
0.55 0.57 1.84 0.03 -2.25 -0.56
2.6 4.06 3.24 1.28 0.26 -0.19
-0.68 -0.94 0.53 1.85 -0.86 0.88
-2.15 -1.1 0.43 1.17 -2.2 -1.24
0.48 0.59 0.11 1.14 0.14 -0.1
1.26 -0.25 -1.28 0.18 0.7 -2.85
-1.39 -0.05 1.31 1.82 -0.69 1.95
1.09 0.92 1.98 0.46 1.42 0.28
0.82 -0.28 1.42 1.75 -1.64 -0.25
1.28 -1.16 -0.16 -1.35 -1.58 -0.9
1.72 0.88 1.25 2.25 0.21 -1.18
-0.05 1.87 1.23 -0.27 1.59 1.58
0.93 4.4 0.04 0.68 -0.19 -0.53
-0.11 -0.02 2.84 0.06 -1.23 0.26
2.13 1.15 1.62 2.67 1.42 -0.23
-1.33 -0.92 -0.14 1.03 -0.34 -0.21
-1.57 -0.5 1.86 0.48 -0.01 0.6
1.48 2.34 0.58 0.13 -0.35 -1.25
-2.36 -2.51 1.1 1.19 1.19 1.84
1.09 2.67 0.07 0.36 1.63 0.25
0.02 1.94 0.7 1.77 0.22 0.41
0.73 -0.04 -1.31 -0.09 2.07 -0.04
0.74 1.98 3.37 4.08 -0.23 1.53
0.31 0.29 0.32 1.06 0.4 2.51
-0.48 -0.12 0.81 0.27 -0.32 0.22
-0.12 0.46 0.38 0.45 0.99 -0.95
-1.46 -1.22 0.59 -0.16 2.26 1.07
1.42 1.97 0.08 0.25 0.5 0.87
0.06 -1.74 -1.19 -1.18 2.34 1.13
0.64 -2.32 -0.28 0.06 -1.26 -0.51
-0.62 -1.49 -1.21 -0.42 0.47 0.29
0.85 -0.28 0 -1.31 0.74 0.95
2.13 -0.26 2.84 -0.65 -0.53 0.66
1.31 0.95 -0.66 0.15 -0.87 -1.11
-3.2 -1.8 2.13 0.86 -0.44 0.33
-1.52 -1.06 -0.09 1.48 -1.44 -1.45
-0.06 -0.15 -0.29 1.25 0.49 0.77
-2.08 -0.26 -0.28 -2.06 -0.35 -0.68
0.5 0.35 1.68 -0.2 1.64 0.29
-0.32 -3.06 -0.66 -0.97 -0.38 0.08
3.2 3.3 0.12 1.62 1.91 -0.91
-0.05 0.35 0.11 -0.06 -0.83 -0.81
0.06 0.89 0.54 0.73 -0.67 -1.07
1.83 0.43 0.95 0.75 -0.65 1.09
0.71 1.72 1.73 2.78 1.21 0.79
-1.24 -1.5 0.06 -1.17 1.01 0.77
-1.8 -1.91 -0.24 -0.67 2.19 -0.78
2.58 1.94 -1.73 -1.39 1.57 0.51
0.53 2.88 -1.54 -0.9 0.23 -0.2
0.44 2.13 0.33 0.54 0.2 1.12
-0.22 0.49 -1.35 0.45 -0.27 -0.35
-0.78 0.32 -0.03 0.05 -0.76 -0.48
-2 0.23 -1.17 -0.21 0.28 0.97
1.17 -1.1 0.9 2.37 0.59 0.14
-1.86 -0.49 -2.14 -0.28 0.07 -0.44
-1.65 -3.32 -1.49 -1.57 -0.02 -0.63
1.85 0.57 1.57 0.07 0.4 0.55
0.52 -1.53 2.08 0.35 -0.16 -0.96
1.76 1.42 -0.28 2.39 0.92 -0.59
1.28 -1.43 -3 -2.35 1.46 -0.87
0.82 -0.61 -1.23 -0.36 -0.2 2.09
-3.51 -2.28 1 -1.59 0.06 -0.42
1.24 0.21 -0.27 -0.44 0.56 1.47
-0.95 -0.16 0.42 2.85 1.23 -1.62
-2.05 -1.31 -1.59 -0.65 1.84 1.08
0.07 2.32 -1 -2.6 2.4 0.9
-1.85 0.67 0.47 -0.85 -1.16 1.12
-1.65 -2.03 -0.08 -1.61 -0.34 -0.34
0.1 2.65 2.23 1.76 -2.1 -0.18
-1.18 -0.72 -2.31 -1.8 1.24 -0.15
1.42 -1.58 -0.63 0.15 0.87 -0.36
0.56 -0.68 2.01 -0.56 -0.34 -0.55
1.69 0.71 -0.83 0.74 -1.47 -0.43
0.14 -0.47 -0.08 0.18 1.75 1.12
1.33 0.68 0.5 0.95 0.25 2.28
-0.82 1.21 1.3 1.43 0.21 -0.9
1.38 1.51 0.93 0.3 -0.32 1.29
-3.55 -1.84 -0.99 -0.22 -0.33 1.08
0.07 1.61 0.44 0.28 -0.97 1
-1.7 -2.1 -1.47 -2.25 0.91 1.8
-2.03 -0.24 -0.59 -0.41 0.8 1.13
0.33 0.15 1.24 0.96 1.82 0.35
0.08 -0.66 -3.1 -2.33 1.9 1.42
0.65 1.9 0.03 0.6 -0.75 0.95
-0.66 -1.52 0.39 -1.46 -0.47 -0.91
0.5 0.48 -1.99 -2.06 1.67 0.9
0.6 1.31 2.63 1.76 -0.44 0.01
2.26 0.74 1.57 1.87 0.89 -0.55
-1.07 0.44 2 4.03 -1.59 0.83
1.82 -0.06 -1.44 -0.68 -0.53 -0.42
1 0.47 -0.34 1.89 0.02 1.62
0.1 -0.66 -0.22 0.43 -0.07 -2.2
-0.26 -0.16 -1.98 -2.74 -0.66 -0.05
0.19 -0.01 0.59 0.21 1.66 0.77
-1.19 1.39 -1.65 0.31 0.57 0.63
-0.3 -1.54 -0.44 0.1 -0.4 -1.57
1.17 2.28 -1.15 1.92 -0.42 0.83
-0.73 -0.86 -2.49 -1.4 -2.34 -2.14
